row_no,mandator,provider_id,customer_id,syndicate_id,star1,star2,num_combi,n1,n2,n3,n4,n5,drawtype,drawdate,stake,currency,gametype
1,JXC,JXC103629231,2125151,,7,9,1~5~9~11~28,1,5,9,11,28,TU,01.01.2019,2.00,EUR,EUMI
2,JXC,JXC103706873,1576011,,7,11,9~17~20~37~45,9,17,20,37,45,TU,01.01.2019,2.00,EUR,EUMI
3,JXC,JXC103841432,1792375,,2,9,4~15~23~24~46,4,15,23,24,46,TU,01.01.2019,2.00,EUR,EUMI
4,JXC,JXC103841432,1792375,,10,12,10~17~38~41~44,10,17,38,41,44,TU,01.01.2019,2.00,EUR,EUMI
5,JXC,JXC103846871,1792375,,4,11,3~16~22~25~45,3,16,22,25,45,TU,01.01.2019,2.00,EUR,EUMI
6,JXC,JXC103846871,1792375,,3,9,11~16~39~40~45,11,16,39,40,45,TU,01.01.2019,2.00,EUR,EUMI
7,JXC,JXC104007921,572717,,4,9,4~9~18~29~49,4,9,18,29,49,TU,01.01.2019,2.00,EUR,EUMI
8,JXC,JXC104007921,572717,,3,5,4~9~18~29~49,4,9,18,29,49,TU,01.01.2019,2.00,EUR,EUMI
9,JXC,JXC104200326,598561,,6,8,6~12~14~28~50,6,12,14,28,50,TU,01.01.2019,2.00,EUR,EUMI
10,JXC,JXC104202094,1811296,,6,11,11~19~22~32~45,11,19,22,32,45,TU,01.01.2019,2.00,EUR,EUMI
11,JXC,JXC104342161,143566,,8,12,21~36~40~43~48,21,36,40,43,48,TU,01.01.2019,2.00,EUR,EUMI
12,JXC,JXC104342161,143566,,1,3,6~13~17~43~44,6,13,17,43,44,TU,01.01.2019,2.00,EUR,EUMI
13,JXC,JXC104383211,1814390,,2,8,2~5~6~10~28,2,5,6,10,28,TU,01.01.2019,2.00,EUR,EUMI
14,JXC,JXC104391008,1325082,,5,7,6~8~27~40~43,6,8,27,40,43,TU,01.01.2019,2.00,EUR,EUMI
15,JXC,JXC104677340,1372444,,3,8,5~9~23~36~39,5,9,23,36,39,TU,01.01.2019,2.00,EUR,EUMI
16,JXC,JXC104683087,178754,,8,9,18~21~32~33~44,18,21,32,33,44,TU,01.01.2019,2.00,EUR,EUMI
17,JXC,JXC104683087,178754,,2,12,1~10~11~17~44,1,10,11,17,44,TU,01.01.2019,2.00,EUR,EUMI
18,JXC,JXC104683087,178754,,3,11,2~9~27~36~45,2,9,27,36,45,TU,01.01.2019,2.00,EUR,EUMI
19,JXC,JXC104683087,178754,,7,10,14~22~33~37~40,14,22,33,37,40,TU,01.01.2019,2.00,EUR,EUMI
20,JXC,JXC104683087,178754,,5,9,14~19~24~43~47,14,19,24,43,47,TU,01.01.2019,2.00,EUR,EUMI
21,JXC,JXC104735866,859640,,5,12,6~11~36~39~47,6,11,36,39,47,TU,01.01.2019,2.00,EUR,EUMI
22,JXC,JXC104735866,859640,,2,11,5~12~26~33~43,5,12,26,33,43,TU,01.01.2019,2.00,EUR,EUMI
23,JXC,JXC104735866,859640,,1,2,11~13~27~29~34,11,13,27,29,34,TU,01.01.2019,2.00,EUR,EUMI
24,JXC,JXC104735866,859640,,4,9,6~8~14~36~50,6,8,14,36,50,TU,01.01.2019,2.00,EUR,EUMI
25,JXC,JXC104735866,859640,,10,12,20~28~30~38~47,20,28,30,38,47,TU,01.01.2019,2.00,EUR,EUMI
26,JXC,JXC104862398,1952077,,6,7,17~18~27~43~44,17,18,27,43,44,TU,01.01.2019,2.00,EUR,EUMI
27,JXC,JXC104864312,1804112,,1,7,8~18~23~27~49,8,18,23,27,49,TU,01.01.2019,2.00,EUR,EUMI
28,JXC,JXC105050929,1494154,,3,4,13~24~26~37~49,13,24,26,37,49,TU,01.01.2019,2.00,EUR,EUMI
29,JXC,JXC105299197,1488285,,1,4,1~6~7~20~27,1,6,7,20,27,TU,01.01.2019,2.00,EUR,EUMI
30,JXC,JXC105425066,1512950,,2,3,4~7~26~30~43,4,7,26,30,43,TU,01.01.2019,2.00,EUR,EUMI
31,JXC,JXC105425066,1512950,,2,8,6~10~19~32~33,6,10,19,32,33,TU,01.01.2019,2.00,EUR,EUMI
32,JXC,JXC105425066,1512950,,7,10,2~17~36~44~45,2,17,36,44,45,TU,01.01.2019,2.00,EUR,EUMI
33,JXC,JXC105459017,565856,,4,10,6~20~32~39~47,6,20,32,39,47,TU,01.01.2019,2.00,EUR,EUMI
34,JXC,JXC105460926,1807721,,5,7,4~9~16~36~43,4,9,16,36,43,TU,01.01.2019,2.00,EUR,EUMI
35,JXC,JXC105461775,2141265,,5,9,12~21~36~39~43,12,21,36,39,43,TU,01.01.2019,2.00,EUR,EUMI
36,JXC,JXC105461775,2141265,,4,7,3~22~23~37~48,3,22,23,37,48,TU,01.01.2019,2.00,EUR,EUMI
37,JXC,JXC105600860,1544007,,3,9,4~12~26~36~49,4,12,26,36,49,TU,01.01.2019,2.00,EUR,EUMI
38,JXC,JXC105732660,2048197,,2,7,8~19~31~33~39,8,19,31,33,39,TU,01.01.2019,2.00,EUR,EUMI
39,JXC,JXC105856093,1488285,,3,6,5~20~40~44~47,5,20,40,44,47,TU,01.01.2019,2.00,EUR,EUMI
40,JXC,JXC106173140,1817296,,2,10,2~7~12~26~28,2,7,12,26,28,TU,01.01.2019,2.00,EUR,EUMI
41,JXC,JXC106248492,534410,,3,7,9~13~23~24~33,9,13,23,24,33,TU,01.01.2019,2.00,EUR,EUMI
42,JXC,JXC106249278,1397714,,4,8,14~23~28~39~45,14,23,28,39,45,TU,01.01.2019,2.00,EUR,EUMI
43,JXC,JXC106277755,1797386,,7,10,8~16~28~37~45,8,16,28,37,45,TU,01.01.2019,2.00,EUR,EUMI
44,JXC,JXC106296048,1791794,,5,11,3~29~32~35~40,3,29,32,35,40,TU,01.01.2019,2.00,EUR,EUMI
45,JXC,JXC106448828,1798075,,6,11,17~28~41~44~50,17,28,41,44,50,TU,01.01.2019,2.00,EUR,EUMI
46,JXC,JXC106448828,1798075,,7,9,8~26~32~39~47,8,26,32,39,47,TU,01.01.2019,2.00,EUR,EUMI
47,JXC,JXC106448865,1798075,,3,5,6~29~37~46~48,6,29,37,46,48,TU,01.01.2019,2.00,EUR,EUMI
48,JXC,JXC106448865,1798075,,2,8,11~19~33~39~49,11,19,33,39,49,TU,01.01.2019,2.00,EUR,EUMI
49,JXC,JXC106960371,1888141,,8,12,17~28~39~44~48,17,28,39,44,48,TU,01.01.2019,2.00,EUR,EUMI
50,JXC,JXC106960371,1888141,,4,6,6~7~18~28~49,6,7,18,28,49,TU,01.01.2019,2.00,EUR,EUMI
51,JXC,JXC107016672,1434154,,5,11,2~16~27~29~31,2,16,27,29,31,TU,01.01.2019,2.00,EUR,EUMI
52,JXC,JXC107016672,1434154,,6,7,6~7~24~44~48,6,7,24,44,48,TU,01.01.2019,2.00,EUR,EUMI
53,JXC,JXC107153408,1787359,,6,7,22~39~43~45~49,22,39,43,45,49,TU,01.01.2019,2.00,EUR,EUMI
54,JXC,JXC107249845,478536,,7,9,1~8~12~14~22,1,8,12,14,22,TU,01.01.2019,2.00,EUR,EUMI
55,JXC,JXC107315320,1779886,,6,11,10~15~18~40~45,10,15,18,40,45,TU,01.01.2019,2.00,EUR,EUMI
56,JXC,JXC107315320,1779886,,11,12,15~31~37~40~49,15,31,37,40,49,TU,01.01.2019,2.00,EUR,EUMI
57,JXC,JXC107533185,2076568,,2,4,18~38~40~42~45,18,38,40,42,45,TU,01.01.2019,2.00,EUR,EUMI
58,JXC,JXC107538139,1787355,,1,7,18~19~24~27~30,18,19,24,27,30,TU,01.01.2019,2.00,EUR,EUMI
59,JXC,JXC107618955,1457736,,5,9,5~9~23~37~48,5,9,23,37,48,TU,01.01.2019,2.00,EUR,EUMI
60,JXC,JXC107798891,14004,,4,7,26~32~44~48~50,26,32,44,48,50,TU,01.01.2019,2.00,EUR,EUMI
61,JXC,JXC107799453,588294,,9,11,2~10~37~38~47,2,10,37,38,47,TU,01.01.2019,2.00,EUR,EUMI
62,JXC,JXC107992905,93691,,3,7,9~29~35~39~47,9,29,35,39,47,TU,01.01.2019,2.00,EUR,EUMI
63,JXC,JXC108011842,2156601,,6,11,6~13~18~35~37,6,13,18,35,37,TU,01.01.2019,2.00,EUR,EUMI
64,JXC,JXC108201193,89310,,3,7,7~13~32~40~43,7,13,32,40,43,TU,01.01.2019,2.00,EUR,EUMI
65,JXC,JXC108201193,89310,,5,9,2~16~29~37~44,2,16,29,37,44,TU,01.01.2019,2.00,EUR,EUMI
66,JXC,JXC108201193,89310,,4,6,3~12~29~37~48,3,12,29,37,48,TU,01.01.2019,2.00,EUR,EUMI
67,JXC,JXC108201193,89310,,6,9,4~16~29~37~45,4,16,29,37,45,TU,01.01.2019,2.00,EUR,EUMI
68,JXC,JXC108201193,89310,,4,10,5~17~30~38~46,5,17,30,38,46,TU,01.01.2019,2.00,EUR,EUMI
69,JXC,JXC108288343,412435,,5,11,7~9~22~43~46,7,9,22,43,46,TU,01.01.2019,2.00,EUR,EUMI
70,JXC,JXC108401378,1966537,,3,7,1~13~31~41~50,1,13,31,41,50,TU,01.01.2019,2.00,EUR,EUMI
71,JXC,JXC108426821,1753351,,6,11,3~14~16~24~50,3,14,16,24,50,TU,01.01.2019,2.00,EUR,EUMI
72,JXC,JXC108496495,18826,,8,10,5~19~26~35~49,5,19,26,35,49,TU,01.01.2019,2.00,EUR,EUMI
73,JXC,JXC108496740,162019,,3,4,16~20~24~39~40,16,20,24,39,40,TU,01.01.2019,2.00,EUR,EUMI
74,JXC,JXC108548480,683862,,3,11,31~41~44~47~50,31,41,44,47,50,TU,01.01.2019,2.00,EUR,EUMI
75,JXC,JXC108584797,534196,,6,8,8~32~40~41~50,8,32,40,41,50,TU,01.01.2019,2.00,EUR,EUMI
76,JXC,JXC108584797,534196,,1,4,2~6~16~17~39,2,6,16,17,39,TU,01.01.2019,2.00,EUR,EUMI
77,JXC,JXC108668289,2157615,,8,12,6~16~34~36~37,6,16,34,36,37,TU,01.01.2019,2.00,EUR,EUMI
78,JXC,JXC108670978,1771324,,4,10,6~15~16~23~38,6,15,16,23,38,TU,01.01.2019,2.00,EUR,EUMI
79,JXC,JXC108703495,1798818,,5,10,1~9~10~13~21,1,9,10,13,21,TU,01.01.2019,2.00,EUR,EUMI
80,JXC,JXC108703799,1814235,,3,6,8~11~36~40~49,8,11,36,40,49,TU,01.01.2019,2.00,EUR,EUMI
81,JXC,JXC108870576,2086468,,6,11,3~21~23~31~43,3,21,23,31,43,TU,01.01.2019,2.00,EUR,EUMI
82,JXC,JXC108870611,2086468,,3,5,3~11~13~43~44,3,11,13,43,44,TU,01.01.2019,2.00,EUR,EUMI
83,JXC,JXC109058874,767377,,1,8,1~3~4~20~28,1,3,4,20,28,TU,01.01.2019,2.00,EUR,EUMI
84,JXC,JXC109110076,1798861,,2,3,5~16~28~33~35,5,16,28,33,35,TU,01.01.2019,2.00,EUR,EUMI
85,JXC,JXC109153212,1643700,,7,12,6~19~28~36~48,6,19,28,36,48,TU,01.01.2019,2.00,EUR,EUMI
86,JXC,JXC109204342,1810782,,6,11,18~33~35~42~45,18,33,35,42,45,TU,01.01.2019,2.00,EUR,EUMI
87,JXC,JXC109204342,1810782,,3,11,12~35~43~46~47,12,35,43,46,47,TU,01.01.2019,2.00,EUR,EUMI
88,JXC,JXC109382293,2094087,,3,12,16~25~31~39~43,16,25,31,39,43,TU,01.01.2019,2.00,EUR,EUMI
89,JXC,JXC109382293,2094087,,3,6,2~8~26~29~37,2,8,26,29,37,TU,01.01.2019,2.00,EUR,EUMI
90,JXC,JXC109382293,2094087,,4,5,13~26~28~39~42,13,26,28,39,42,TU,01.01.2019,2.00,EUR,EUMI
91,JXC,JXC109382293,2094087,,4,7,8~12~18~43~49,8,12,18,43,49,TU,01.01.2019,2.00,EUR,EUMI
92,JXC,JXC109382293,2094087,,2,3,2~8~18~29~46,2,8,18,29,46,TU,01.01.2019,2.00,EUR,EUMI
93,JXC,JXC109398327,1819596,,1,3,1~7~16~37~44,1,7,16,37,44,TU,01.01.2019,2.00,EUR,EUMI
94,JXC,JXC109398327,1819596,,5,7,3~12~19~48~50,3,12,19,48,50,TU,01.01.2019,2.00,EUR,EUMI
95,JXC,JXC109398327,1819596,,4,8,7~17~30~38~45,7,17,30,38,45,TU,01.01.2019,2.00,EUR,EUMI
96,JXC,JXC109414120,60642,,7,11,5~7~11~19~26,5,7,11,19,26,TU,01.01.2019,2.00,EUR,EUMI
97,JXC,JXC109414225,103985,,3,5,3~12~19~28~29,3,12,19,28,29,TU,01.01.2019,2.00,EUR,EUMI
98,JXC,JXC109414225,103985,,1,8,8~26~29~34~46,8,26,29,34,46,TU,01.01.2019,2.00,EUR,EUMI
99,JXC,JXC109414248,108902,,1,6,18~26~38~47~50,18,26,38,47,50,TU,01.01.2019,2.00,EUR,EUMI
100,JXC,JXC109414496,408803,,6,9,12~17~26~32~38,12,17,26,32,38,TU,01.01.2019,2.00,EUR,EUMI
101,JXC,JXC109414600,530443,,4,9,6~7~19~33~48,6,7,19,33,48,TU,01.01.2019,2.00,EUR,EUMI
102,JXC,JXC109414600,530443,,7,9,14~16~25~38~48,14,16,25,38,48,TU,01.01.2019,2.00,EUR,EUMI
103,JXC,JXC109414600,530443,,6,9,3~4~14~18~34,3,4,14,18,34,TU,01.01.2019,2.00,EUR,EUMI
104,JXC,JXC109414600,530443,,5,10,2~7~15~21~29,2,7,15,21,29,TU,01.01.2019,2.00,EUR,EUMI
105,JXC,JXC109415193,1138614,,9,10,17~31~38~41~50,17,31,38,41,50,TU,01.01.2019,2.00,EUR,EUMI
106,JXC,JXC109415245,1196951,,5,11,11~17~27~31~34,11,17,27,31,34,TU,01.01.2019,2.00,EUR,EUMI
107,JXC,JXC109415598,1454341,,7,9,4~9~16~25~36,4,9,16,25,36,TU,01.01.2019,2.00,EUR,EUMI
108,JXC,JXC109415636,1455572,,7,8,2~16~34~36~37,2,16,34,36,37,TU,01.01.2019,2.00,EUR,EUMI
109,JXC,JXC109415636,1455572,,1,10,2~19~46~48~49,2,19,46,48,49,TU,01.01.2019,2.00,EUR,EUMI
110,JXC,JXC109415678,1480534,,3,7,3~4~17~21~28,3,4,17,21,28,TU,01.01.2019,2.00,EUR,EUMI
111,JXC,JXC109415862,1638440,,9,10,34~37~45~46~50,34,37,45,46,50,TU,01.01.2019,2.00,EUR,EUMI
112,JXC,JXC109416350,1807877,,3,6,7~14~28~38~44,7,14,28,38,44,TU,01.01.2019,2.00,EUR,EUMI
113,JXC,JXC109416350,1807877,,3,6,3~6~19~38~39,3,6,19,38,39,TU,01.01.2019,2.00,EUR,EUMI
114,JXC,JXC109416350,1807877,,3,6,2~5~30~38~42,2,5,30,38,42,TU,01.01.2019,2.00,EUR,EUMI
115,JXC,JXC109416350,1807877,,3,6,2~3~6~13~16,2,3,6,13,16,TU,01.01.2019,2.00,EUR,EUMI
116,JXC,JXC109416553,1821083,,1,7,1~7~27~39~50,1,7,27,39,50,TU,01.01.2019,2.00,EUR,EUMI
117,JXC,JXC109416628,1848876,,5,7,3~20~25~32~43,3,20,25,32,43,TU,01.01.2019,2.00,EUR,EUMI
118,JXC,JXC109416838,1904657,,5,10,7~18~22~38~44,7,18,22,38,44,TU,01.01.2019,2.00,EUR,EUMI
119,JXC,JXC109416879,1983237,,1,9,3~4~8~12~28,3,4,8,12,28,TU,01.01.2019,2.00,EUR,EUMI
120,JXC,JXC109416894,2008777,,4,5,5~25~28~43~47,5,25,28,43,47,TU,01.01.2019,2.00,EUR,EUMI
121,JXC,JXC109416912,2050077,,5,9,7~12~18~27~48,7,12,18,27,48,TU,01.01.2019,2.00,EUR,EUMI
122,JXC,JXC109416926,2051230,,7,9,13~25~29~37~48,13,25,29,37,48,TU,01.01.2019,2.00,EUR,EUMI
123,JXC,JXC109416926,2051230,,5,7,6~13~20~25~49,6,13,20,25,49,TU,01.01.2019,2.00,EUR,EUMI
124,JXC,JXC109417116,2161242,,2,7,15~17~28~33~43,15,17,28,33,43,TU,01.01.2019,2.00,EUR,EUMI
125,JXC,JXC109454687,1922538,,1,3,5~12~15~29~45,5,12,15,29,45,TU,01.01.2019,2.00,EUR,EUMI
126,JXC,JXC109458587,1499758,,1,9,1~8~12~16~19,1,8,12,16,19,TU,01.01.2019,2.00,EUR,EUMI
127,JXC,JXC109504265,1786443,,3,7,3~18~41~42~43,3,18,41,42,43,TU,01.01.2019,2.00,EUR,EUMI
128,JXC,JXC109507088,727912,,2,7,2~19~33~46~48,2,19,33,46,48,TU,01.01.2019,2.00,EUR,EUMI
129,JXC,JXC109510421,731989,3161775,3,9,5~16~18~20~46,5,16,18,20,46,TU,01.01.2019,2.00,EUR,EUMI
130,JXC,JXC109510421,731989,3161775,4,11,9~17~21~29~30,9,17,21,29,30,TU,01.01.2019,2.00,EUR,EUMI
131,JXC,JXC109510421,731989,3161775,4,8,5~10~11~35~46,5,10,11,35,46,TU,01.01.2019,2.00,EUR,EUMI
132,JXC,JXC109510421,731989,3161775,5,8,2~7~18~19~42,2,7,18,19,42,TU,01.01.2019,2.00,EUR,EUMI
133,JXC,JXC109510421,731989,3161775,2,6,8~15~16~26~38,8,15,16,26,38,TU,01.01.2019,2.00,EUR,EUMI
134,JXC,JXC109514880,40834,,5,9,3~8~25~31~47,3,8,25,31,47,TU,01.01.2019,2.00,EUR,EUMI
135,JXC,JXC109518324,1155092,,3,7,5~12~19~27~38,5,12,19,27,38,TU,01.01.2019,2.00,EUR,EUMI
136,JXC,JXC109518324,1155092,,4,6,12~24~38~39~44,12,24,38,39,44,TU,01.01.2019,2.00,EUR,EUMI
137,JXC,JXC109558934,1329755,,1,12,2~5~12~14~50,2,5,12,14,50,TU,01.01.2019,2.00,EUR,EUMI
138,JXC,JXC109561334,2164964,,2,9,18~20~22~40~45,18,20,22,40,45,TU,01.01.2019,2.00,EUR,EUMI
139,JXC,JXC109561334,2164964,,7,9,16~23~27~36~49,16,23,27,36,49,TU,01.01.2019,2.00,EUR,EUMI
140,JXC,JXC109561334,2164964,,3,6,5~7~13~24~40,5,7,13,24,40,TU,01.01.2019,2.00,EUR,EUMI
141,JXC,JXC109637254,1792210,,2,3,5~21~25~38~49,5,21,25,38,49,TU,01.01.2019,2.00,EUR,EUMI
142,JXC,JXC109637912,731989,3161824,7,12,12~16~31~33~36,12,16,31,33,36,TU,01.01.2019,2.00,EUR,EUMI
143,JXC,JXC109637912,731989,3161824,4,6,9~13~16~18~31,9,13,16,18,31,TU,01.01.2019,2.00,EUR,EUMI
144,JXC,JXC109637912,731989,3161824,1,6,1~6~24~25~36,1,6,24,25,36,TU,01.01.2019,2.00,EUR,EUMI
145,JXC,JXC109637912,731989,3161824,4,9,10~13~25~26~41,10,13,25,26,41,TU,01.01.2019,2.00,EUR,EUMI
146,JXC,JXC109637912,731989,3161824,5,9,18~27~33~34~46,18,27,33,34,46,TU,01.01.2019,2.00,EUR,EUMI
147,JXC,JXC109637915,731989,3161824,8,10,2~18~33~43~45,2,18,33,43,45,TU,01.01.2019,2.00,EUR,EUMI
148,JXC,JXC109637915,731989,3161824,6,7,9~38~43~46~48,9,38,43,46,48,TU,01.01.2019,2.00,EUR,EUMI
149,JXC,JXC109637915,731989,3161824,3,7,6~10~16~20~30,6,10,16,20,30,TU,01.01.2019,2.00,EUR,EUMI
150,JXC,JXC109637915,731989,3161824,8,12,1~13~16~35~37,1,13,16,35,37,TU,01.01.2019,2.00,EUR,EUMI
151,JXC,JXC109637915,731989,3161824,6,10,2~5~6~15~22,2,5,6,15,22,TU,01.01.2019,2.00,EUR,EUMI
152,JXC,JXC109637916,731989,3161824,8,11,1~9~14~22~47,1,9,14,22,47,TU,01.01.2019,2.00,EUR,EUMI
153,JXC,JXC109637916,731989,3161824,3,12,1~15~31~35~50,1,15,31,35,50,TU,01.01.2019,2.00,EUR,EUMI
154,JXC,JXC109637916,731989,3161824,10,12,22~24~32~35~42,22,24,32,35,42,TU,01.01.2019,2.00,EUR,EUMI
155,JXC,JXC109637916,731989,3161824,10,12,29~30~32~35~43,29,30,32,35,43,TU,01.01.2019,2.00,EUR,EUMI
156,JXC,JXC109637916,731989,3161824,7,10,1~16~38~40~47,1,16,38,40,47,TU,01.01.2019,2.00,EUR,EUMI
157,JXC,JXC109637917,731989,3161832,3,8,1~14~17~18~41,1,14,17,18,41,TU,01.01.2019,2.00,EUR,EUMI
158,JXC,JXC109637923,731989,3161832,4,10,1~14~17~18~41,1,14,17,18,41,TU,01.01.2019,2.00,EUR,EUMI
159,JXC,JXC109637927,731989,3161832,2,5,1~14~17~18~41,1,14,17,18,41,TU,01.01.2019,2.00,EUR,EUMI
160,JXC,JXC109637930,731989,3161832,6,7,1~14~17~18~41,1,14,17,18,41,TU,01.01.2019,2.00,EUR,EUMI
161,JXC,JXC109637931,731989,3161833,1,7,2~15~17~19~20,2,15,17,19,20,TU,01.01.2019,2.00,EUR,EUMI
162,JXC,JXC109637931,731989,3161833,1,7,2~15~17~19~29,2,15,17,19,29,TU,01.01.2019,2.00,EUR,EUMI
163,JXC,JXC109637931,731989,3161833,1,7,2~15~17~19~31,2,15,17,19,31,TU,01.01.2019,2.00,EUR,EUMI
164,JXC,JXC109637931,731989,3161833,1,7,2~15~17~19~44,2,15,17,19,44,TU,01.01.2019,2.00,EUR,EUMI
165,JXC,JXC109637931,731989,3161833,1,7,2~15~17~20~29,2,15,17,20,29,TU,01.01.2019,2.00,EUR,EUMI
166,JXC,JXC109637931,731989,3161833,1,7,2~15~17~20~31,2,15,17,20,31,TU,01.01.2019,2.00,EUR,EUMI
167,JXC,JXC109637931,731989,3161833,1,7,2~15~17~20~44,2,15,17,20,44,TU,01.01.2019,2.00,EUR,EUMI
168,JXC,JXC109637931,731989,3161833,1,7,2~15~17~29~31,2,15,17,29,31,TU,01.01.2019,2.00,EUR,EUMI
169,JXC,JXC109637931,731989,3161833,1,7,2~15~17~29~44,2,15,17,29,44,TU,01.01.2019,2.00,EUR,EUMI
170,JXC,JXC109637931,731989,3161833,1,7,2~15~17~31~44,2,15,17,31,44,TU,01.01.2019,2.00,EUR,EUMI
171,JXC,JXC109637931,731989,3161833,1,7,2~15~19~20~29,2,15,19,20,29,TU,01.01.2019,2.00,EUR,EUMI
172,JXC,JXC109637931,731989,3161833,1,7,2~15~19~20~31,2,15,19,20,31,TU,01.01.2019,2.00,EUR,EUMI
173,JXC,JXC109637931,731989,3161833,1,7,2~15~19~20~44,2,15,19,20,44,TU,01.01.2019,2.00,EUR,EUMI
174,JXC,JXC109637931,731989,3161833,1,7,2~15~19~29~31,2,15,19,29,31,TU,01.01.2019,2.00,EUR,EUMI
175,JXC,JXC109637931,731989,3161833,1,7,2~15~19~29~44,2,15,19,29,44,TU,01.01.2019,2.00,EUR,EUMI
176,JXC,JXC109637931,731989,3161833,1,7,2~15~19~31~44,2,15,19,31,44,TU,01.01.2019,2.00,EUR,EUMI
177,JXC,JXC109637931,731989,3161833,1,7,2~15~20~29~31,2,15,20,29,31,TU,01.01.2019,2.00,EUR,EUMI
178,JXC,JXC109637931,731989,3161833,1,7,2~15~20~29~44,2,15,20,29,44,TU,01.01.2019,2.00,EUR,EUMI
179,JXC,JXC109637931,731989,3161833,1,7,2~15~20~31~44,2,15,20,31,44,TU,01.01.2019,2.00,EUR,EUMI
180,JXC,JXC109637931,731989,3161833,1,7,2~15~29~31~44,2,15,29,31,44,TU,01.01.2019,2.00,EUR,EUMI
181,JXC,JXC109637931,731989,3161833,1,7,2~17~19~20~29,2,17,19,20,29,TU,01.01.2019,2.00,EUR,EUMI
182,JXC,JXC109637931,731989,3161833,1,7,2~17~19~20~31,2,17,19,20,31,TU,01.01.2019,2.00,EUR,EUMI
183,JXC,JXC109637931,731989,3161833,1,7,2~17~19~20~44,2,17,19,20,44,TU,01.01.2019,2.00,EUR,EUMI
184,JXC,JXC109637931,731989,3161833,1,7,2~17~19~29~31,2,17,19,29,31,TU,01.01.2019,2.00,EUR,EUMI
185,JXC,JXC109637931,731989,3161833,1,7,2~17~19~29~44,2,17,19,29,44,TU,01.01.2019,2.00,EUR,EUMI
186,JXC,JXC109637931,731989,3161833,1,7,2~17~19~31~44,2,17,19,31,44,TU,01.01.2019,2.00,EUR,EUMI
187,JXC,JXC109637931,731989,3161833,1,7,2~17~20~29~31,2,17,20,29,31,TU,01.01.2019,2.00,EUR,EUMI
188,JXC,JXC109637931,731989,3161833,1,7,2~17~20~29~44,2,17,20,29,44,TU,01.01.2019,2.00,EUR,EUMI
189,JXC,JXC109637931,731989,3161833,1,7,2~17~20~31~44,2,17,20,31,44,TU,01.01.2019,2.00,EUR,EUMI
190,JXC,JXC109637931,731989,3161833,1,7,2~17~29~31~44,2,17,29,31,44,TU,01.01.2019,2.00,EUR,EUMI
191,JXC,JXC109637931,731989,3161833,1,7,2~19~20~29~31,2,19,20,29,31,TU,01.01.2019,2.00,EUR,EUMI
192,JXC,JXC109637931,731989,3161833,1,7,2~19~20~29~44,2,19,20,29,44,TU,01.01.2019,2.00,EUR,EUMI
193,JXC,JXC109637931,731989,3161833,1,7,2~19~20~31~44,2,19,20,31,44,TU,01.01.2019,2.00,EUR,EUMI
194,JXC,JXC109637931,731989,3161833,1,7,2~19~29~31~44,2,19,29,31,44,TU,01.01.2019,2.00,EUR,EUMI
195,JXC,JXC109637931,731989,3161833,1,7,2~20~29~31~44,2,20,29,31,44,TU,01.01.2019,2.00,EUR,EUMI
196,JXC,JXC109637931,731989,3161833,1,7,15~17~19~20~29,15,17,19,20,29,TU,01.01.2019,2.00,EUR,EUMI
197,JXC,JXC109637931,731989,3161833,1,7,15~17~19~20~31,15,17,19,20,31,TU,01.01.2019,2.00,EUR,EUMI
198,JXC,JXC109637931,731989,3161833,1,7,15~17~19~20~44,15,17,19,20,44,TU,01.01.2019,2.00,EUR,EUMI
199,JXC,JXC109637931,731989,3161833,1,7,15~17~19~29~31,15,17,19,29,31,TU,01.01.2019,2.00,EUR,EUMI
200,JXC,JXC109637931,731989,3161833,1,7,15~17~19~29~44,15,17,19,29,44,TU,01.01.2019,2.00,EUR,EUMI
201,JXC,JXC109637931,731989,3161833,1,7,15~17~19~31~44,15,17,19,31,44,TU,01.01.2019,2.00,EUR,EUMI
202,JXC,JXC109637931,731989,3161833,1,7,15~17~20~29~31,15,17,20,29,31,TU,01.01.2019,2.00,EUR,EUMI
203,JXC,JXC109637931,731989,3161833,1,7,15~17~20~29~44,15,17,20,29,44,TU,01.01.2019,2.00,EUR,EUMI
204,JXC,JXC109637931,731989,3161833,1,7,15~17~20~31~44,15,17,20,31,44,TU,01.01.2019,2.00,EUR,EUMI
205,JXC,JXC109637931,731989,3161833,1,7,15~17~29~31~44,15,17,29,31,44,TU,01.01.2019,2.00,EUR,EUMI
206,JXC,JXC109637931,731989,3161833,1,7,15~19~20~29~31,15,19,20,29,31,TU,01.01.2019,2.00,EUR,EUMI
207,JXC,JXC109637931,731989,3161833,1,7,15~19~20~29~44,15,19,20,29,44,TU,01.01.2019,2.00,EUR,EUMI
208,JXC,JXC109637931,731989,3161833,1,7,15~19~20~31~44,15,19,20,31,44,TU,01.01.2019,2.00,EUR,EUMI
209,JXC,JXC109637931,731989,3161833,1,7,15~19~29~31~44,15,19,29,31,44,TU,01.01.2019,2.00,EUR,EUMI
210,JXC,JXC109637931,731989,3161833,1,7,15~20~29~31~44,15,20,29,31,44,TU,01.01.2019,2.00,EUR,EUMI
211,JXC,JXC109637931,731989,3161833,1,7,17~19~20~29~31,17,19,20,29,31,TU,01.01.2019,2.00,EUR,EUMI
212,JXC,JXC109637931,731989,3161833,1,7,17~19~20~29~44,17,19,20,29,44,TU,01.01.2019,2.00,EUR,EUMI
