row_no,mandator,provider_id,customer_id,syndicate_id,star1,star2,num_combi,n1,n2,n3,n4,n5,drawtype,drawdate,stake,currency,gametype
16544,JXC,JXC112433300,599892,,1,2,5~10~14~23~50,5,10,14,23,50,TU,01.01.2019,2.00,EUR,EUMI
16545,JXC,JXC112433300,599892,,4,9,1~11~15~16~22,1,11,15,16,22,TU,01.01.2019,2.00,EUR,EUMI
16546,JXC,JXC112433300,599892,,5,12,14~27~29~35~50,14,27,29,35,50,TU,01.01.2019,2.00,EUR,EUMI
16547,JXC,JXC112433394,2124794,,5,8,2~6~15~18~27,2,6,15,18,27,TU,01.01.2019,2.00,EUR,EUMI
16548,JXC,JXC112433394,2124794,,3,9,4~7~9~16~19,4,7,9,16,19,TU,01.01.2019,2.00,EUR,EUMI
16549,JXC,JXC112433394,2124794,,1,5,7~10~17~26~28,7,10,17,26,28,TU,01.01.2019,2.00,EUR,EUMI
16550,JXC,JXC112433394,2124794,,10,12,6~17~23~32~45,6,17,23,32,45,TU,01.01.2019,2.00,EUR,EUMI
16551,JXC,JXC112433394,2124794,,6,8,15~27~40~42~47,15,27,40,42,47,TU,01.01.2019,2.00,EUR,EUMI
16552,JXC,JXC112433396,2124794,,2,9,3~10~31~33~39,3,10,31,33,39,TU,01.01.2019,2.00,EUR,EUMI
16553,JXC,JXC112433396,2124794,,4,6,2~8~15~18~27,2,8,15,18,27,TU,01.01.2019,2.00,EUR,EUMI
16554,JXC,JXC112433396,2124794,,10,11,3~7~31~32~39,3,7,31,32,39,TU,01.01.2019,2.00,EUR,EUMI
16555,JXC,JXC112433396,2124794,,5,9,13~18~19~24~32,13,18,19,24,32,TU,01.01.2019,2.00,EUR,EUMI
16556,JXC,JXC112433396,2124794,,4,12,17~21~27~38~39,17,21,27,38,39,TU,01.01.2019,2.00,EUR,EUMI
16557,JXC,JXC112433444,1650495,,8,10,3~7~14~38~49,3,7,14,38,49,TU,01.01.2019,2.00,EUR,EUMI
16558,JXC,JXC112433445,1650495,,2,8,5~6~19~26~31,5,6,19,26,31,TU,01.01.2019,2.00,EUR,EUMI
16559,JXC,JXC112433463,749175,,1,2,8~19~30~35~39,8,19,30,35,39,TU,01.01.2019,2.00,EUR,EUMI
16560,JXC,JXC112433463,749175,,3,4,14~15~31~39~47,14,15,31,39,47,TU,01.01.2019,2.00,EUR,EUMI
16561,JXC,JXC112433463,749175,,1,7,8~13~27~42~48,8,13,27,42,48,TU,01.01.2019,2.00,EUR,EUMI
16562,JXC,JXC112433463,749175,,4,9,2~18~24~36~47,2,18,24,36,47,TU,01.01.2019,2.00,EUR,EUMI
16563,JXC,JXC112433463,749175,,4,9,7~8~17~42~48,7,8,17,42,48,TU,01.01.2019,2.00,EUR,EUMI
